Continent,Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk(Y/N/Unknown),DNC_Check_Required_for_ER(Y/N/Depends),Quiet_Hours(allowed_window_local),AIDisclosure_Required(Y/N/Depends),Recording_Basis,Existing_Relationship_Exemption,Known_Exceptions,CallerID/Prefix_Rules,Recent_Changes(2024+),Last_Verified,Source_Last_Updated,Confidence,Primary_Sources,Notes_for_Product
Asia,Afghanistan,AF,"No specific telemarketing regulation found","Opt-out (assume allowed by default)","No specific B2C telemarketing law found","Opt-out (assume allowed)","","","Unknown","Unknown","Not specified","Not specified","Consent (privacy generally protected)","N/A","","","",2025-09-24,,"Low","(no sources found)","No public info; assume minimal restrictions."
Asia,Burundi,BI,"No specific telemarketing regulation; general consumer protections exist","Opt-out (calls allowed by default)","No specific B2B telemarketing regulation found","Opt-out (calls allowed)","","","Unknown","Unknown","Not specified","Not specified","Consent (privacy of communications emphasized)","","","","",2025-09-24,,"Medium","ARCT (Burundi) (FR)","Consumer has right to tranquility (no abusive calls)."
Asia,Brunei,BN,"Personal Data Protection Order 2025 mandates consent for calls","Opt-in (explicit consent required)","Not addressed by current laws","N/A","","","No","N/A","Not specified","Depends (no clear rule)","No explicit rule (assume one-party)","","No exceptions","","PDPO 2025 (effective Jan 2025)",2025-09-24,2025-01-08,High,"Brunei PDPO 2025 (EN)","PDPO requires prior consent for marketing calls."
Asia,Kyrgyzstan,KG,"Advertising to consumers requires prior consent","Opt-in (consent required)","Not explicitly regulated","N/A","","","No","N/A","Not specified","Not specified","Consent (privacy of calls guaranteed)","","","","",2025-09-24,,High,"Advertising Law (KG) (RU); PD Law (EN)","Ads by paid info services only with subscriber consent; PD law implies privacy."
Asia,Cambodia,KH,"Unsolicited calls banned unless consumer subscribed","Opt-in (only for subscribed VAS)","Not specifically addressed","N/A","","","No","N/A","Not specified","Not specified","Consent (private communications protected)","Allowed only for services the customer has subscribed to","","","MPTC 2021 ban on unsolicited VAS calls",2025-09-24,2021-07-26,High,"MPTC announcement (Jul 2021) (EN); Penal Code Art.301","Calls only for subscribed services; recording illegal without consent."
Asia,Comoros,KM,"No specific telemarketing regulation found","Opt-out (calls allowed by default)","Not addressed","N/A","","","Unknown","N/A","Not specified","Not specified","Consent (telecoms confidential by constitution)","","","","",2025-09-24,,Medium,"Constitution Art.27 (EN)","Confidentiality of communications guaranteed; no telemarketing rules found."
Asia,North Korea,KP,"State-run telecom; no consumer marketing law","N/A","Not applicable","N/A","","","No","N/A","Not specified","N/A","Strict state surveillance; no privacy rights","","","","",2025-09-24,,Low,"Amnesty Int'l (EN)","All telecoms under state control; assume no marketing allowed."
Asia,Kazakhstan,KZ,"No special telemarketing law (calls allowed)","Opt-out (no consent requirement)","Not specifically regulated","N/A","","","No","N/A","Not specified","Not specified","Consent (privacy of calls guaranteed)","","","","",2025-09-24,2014-01-12,Medium,"NV (Kazakh ad law) (RU); Constitution Art.31 (RU)","No opt-in required; calls are private."
Asia,Laos,LA,"Telemarketing regulated by Consumer Protection Decision","Opt-in (provider consent required; max 2 calls/day,10 calls/month)","Not explicitly addressed","N/A","","","No","N/A","Not specified","Not specified","Consent (unauthorized data use penalized)","","","","MPT Decision 1061/MPT (May 2020)",2025-09-24,2020-05-25,High,"MPT Decision 1061/MPT (2020) (EN)","Calls banned 08:00–17:00 Mon–Fri; limited to 2/day, 10/month."
Asia,Lesotho,LS,"No specific telemarketing regulation found","Opt-out (calls allowed)","Not addressed","N/A","","","Unknown","N/A","Not specified","Not specified","Consent (privacy protected by law)","","","","",2025-09-24,,Low,"DP Act excerpts (EN)","No telemarketing rules; protect call privacy per law."
